t,E0,E1,E2,E3,E4,E5,E6,E7
3.076923076923076650e+00,-2.085176495821548848e+00,-2.085090737952903783e+00,-7.830865184998078155e-01,-7.830007606311585322e-01,-6.923934501763383542e-01,-6.923076923076900702e-01,-6.097822850140506290e-01,-6.096965271454016788e-01
3.110367892976588333e+00,-2.075365954734063045e+00,-2.075275119606920349e+00,-7.807832477161076312e-01,-7.806924125889592725e-01,-6.890540458294875936e-01,-6.889632107023389018e-01,-6.056194963156158462e-01,-6.055286611884677095e-01
3.143812709030100017e+00,-2.065559666068479849e+00,-2.065463491406954066e+00,-7.784815281421242350e-01,-7.783853534805950103e-01,-6.857149037585160700e-01,-6.856187290969855130e-01,-6.014594088293659935e-01,-6.013632341678372129e-01
3.177257525083611700e+00,-2.055757697014056973e+00,-2.055655908452946878e+00,-7.761813757201484476e-01,-7.760795871590359107e-01,-6.823760360527486579e-01,-6.822742474916354549e-01,-5.973020738022698506e-01,-5.972002852411575358e-01
3.210702341137123383e+00,-2.045960116244686322e+00,-2.045852426807995172e+00,-7.738828066033179853e-01,-7.737751171666238381e-01,-6.790374553229785448e-01,-6.789297658862851748e-01,-5.931475437550819407e-01,-5.930398543183880156e-01
3.244147157190635511e+00,-2.036166993961049609e+00,-2.036053103518114415e+00,-7.715858371589616738e-01,-7.714719467160229271e-01,-6.756991747238724200e-01,-6.755852842809343395e-01,-5.889958725211529300e-01,-5.888819820782144054e-01
3.277591973244147194e+00,-2.026378401934219031e+00,-2.026257996632446989e+00,-7.692904839720070553e-01,-7.691700786702301285e-01,-6.723612079773599870e-01,-6.722408026755820609e-01,-5.848471152866281386e-01,-5.847267099848516558e-01
3.311036789297658878e+00,-2.016594413550767406e+00,-2.016467165223923885e+00,-7.669967638484465056e-01,-7.668695155215990988e-01,-6.690235693970786324e-01,-6.688963210702318918e-01,-5.807013286320876766e-01,-5.805740803052403809e-01
3.344481605351170561e+00,-2.006815103859443727e+00,-2.006680669410409568e+00,-7.647046938188712950e-01,-7.645702593698326943e-01,-6.656862739139204344e-01,-6.655518394648790581e-01,-5.765585705756909318e-01,-5.764241361266525532e-01
3.377926421404682245e+00,-1.997040549619476080e+00,-1.996898570376303139e+00,-7.624142911420627167e-01,-7.622723118988866675e-01,-6.623493371027048271e-01,-6.622073578595284449e-01,-5.724189006178834749e-01,-5.722769213747078698e-01
